StudentID,Name,Age,Electronics,Programming,Database,DataScience,Mathematics,DSA
137,Student_137,19,43,90,51,99,95,100
138,Student_138,23,61,94,69,52,44,76
139,Student_139,18,73,59,77,82,100,53
140,Student_140,19,67,97,92,41,49,95
141,Student_141,19,68,89,68,83,70,99
142,Student_142,24,52,92,64,69,69,63
143,Student_143,18,85,92,63,58,51,66
144,Student_144,21,72,93,98,94,89,51
145,Student_145,21,91,67,64,68,63,96
146,Student_146,22,79,91,62,100,70,96
147,Student_147,21,83,90,84,58,93,55
148,Student_148,18,55,90,68,89,45,71
149,Student_149,18,58,53,78,67,49,83
150,Student_150,23,74,55,40,68,68,41
151,Student_151,25,66,49,92,84,96,44
152,Student_152,25,53,62,67,100,77,64
153,Student_153,24,94,76,84,86,72,49
154,Student_154,23,65,92,60,93,81,42
155,Student_155,25,92,43,43,70,56,68
156,Student_156,18,95,94,53,45,90,89
157,Student_157,18,71,97,52,93,99,53
158,Student_158,24,42,73,95,43,78,98
159,Student_159,21,90,47,68,51,56,94
160,Student_160,20,50,42,42,47,47,62
161,Student_161,20,85,97,41,50,40,74
162,Student_162,19,78,85,76,88,95,54
163,Student_163,18,82,89,46,64,54,79
164,Student_164,25,61,44,48,74,78,45
165,Student_165,20,96,57,77,60,49,95
166,Student_166,21,100,78,98,46,55,75
167,Student_167,20,91,88,60,42,94,88
168,Student_168,22,95,56,84,57,95,70
169,Student_169,23,84,52,61,90,45,70
170,Student_170,24,49,80,67,42,42,93
171,Student_171,18,91,81,58,41,51,98
172,Student_172,19,45,49,99,79,84,96
173,Student_173,23,81,79,83,54,87,89
174,Student_174,22,58,65,79,83,48,72
175,Student_175,25,41,80,93,56,82,58
176,Student_176,23,42,47,63,94,84,45
177,Student_177,22,96,73,82,83,93,86
178,Student_178,20,52,94,69,42,50,40
179,Student_179,18,89,89,48,68,96,45
180,Student_180,23,86,61,65,87,70,40
181,Student_181,18,52,57,60,71,80,51
182,Student_182,22,76,66,88,89,72,70
183,Student_183,25,80,78,62,77,69,56
184,Student_184,20,44,92,64,54,57,74
185,Student_185,22,52,75,57,88,88,93
186,Student_186,23,77,43,58,48,46,84
187,Student_187,18,40,90,96,78,93,97
188,Student_188,24,88,97,69,71,44,61
189,Student_189,18,55,62,45,77,74,52
190,Student_190,25,68,94,92,89,94,51
191,Student_191,18,58,93,53,91,44,85
192,Student_192,20,86,82,78,68,54,75
193,Student_193,21,88,64,68,72,59,78
194,Student_194,18,82,55,91,52,45,86
195,Student_195,18,98,93,54,44,97,42
196,Student_196,18,54,43,43,83,43,90
197,Student_197,20,53,92,71,62,91,94
198,Student_198,21,94,43,53,79,93,42
199,Student_199,18,67,97,40,76,90,57
200,Student_200,25,53,96,95,95,75,77
201,Student_201,25,82,52,65,96,70,74
202,Student_202,25,99,59,71,51,41,84
203,Student_203,20,96,69,98,43,61,79
204,Student_204,22,55,47,84,43,100,71
205,Student_205,23,46,90,81,54,66,81
206,Student_206,25,81,87,50,45,43,52
207,Student_207,18,46,97,63,59,57,97
208,Student_208,20,81,75,44,88,77,41
209,Student_209,19,95,88,41,47,84,45
210,Student_210,22,83,64,76,65,73,50
211,Student_211,23,69,58,52,58,54,97
212,Student_212,19,93,55,57,99,95,57
213,Student_213,24,65,54,78,50,44,82
214,Student_214,22,43,48,64,97,71,42
215,Student_215,24,90,90,51,65,74,52
216,Student_216,21,84,92,47,68,85,50
217,Student_217,19,66,45,93,49,100,51
218,Student_218,21,97,49,47,96,84,78
219,Student_219,20,79,84,97,94,55,54
220,Student_220,21,93,89,78,60,73,50
221,Student_221,20,76,69,68,93,69,85
222,Student_222,23,93,72,54,64,92,71
223,Student_223,21,87,91,91,75,71,98
224,Student_224,19,76,99,56,48,70,60
225,Student_225,20,69,84,41,91,53,100
226,Student_226,25,100,67,94,57,94,83
227,Student_227,23,93,79,91,79,40,47
228,Student_228,22,81,62,57,82,84,98
229,Student_229,21,69,71,48,61,46,82
230,Student_230,20,58,55,58,97,87,70
231,Student_231,19,49,54,56,90,52,65
232,Student_232,20,69,50,62,88,72,70
233,Student_233,21,94,100,45,53,41,51
234,Student_234,25,93,56,95,43,71,69
235,Student_235,20,56,42,85,79,57,75
236,Student_236,24,65,49,50,56,81,96
237,Student_237,24,94,84,48,91,95,54
238,Student_238,20,81,96,51,44,59,75
239,Student_239,19,55,54,95,61,41,78
240,Student_240,19,100,40,90,79,57,46
241,Student_241,25,44,52,62,97,58,61
242,Student_242,25,67,98,97,50,50,93
243,Student_243,23,80,40,86,52,44,58
244,Student_244,25,48,94,90,45,73,75
245,Student_245,19,45,79,84,85,97,73
246,Student_246,18,50,70,80,75,91,75
247,Student_247,25,77,82,66,74,42,40
248,Student_248,22,73,54,100,83,80,63
249,Student_249,23,90,86,79,89,99,69
250,Student_250,19,92,90,42,70,46,69
251,Student_251,21,60,78,76,77,74,47
252,Student_252,21,98,50,63,83,74,40
253,Student_253,24,68,62,50,67,53,97
254,Student_254,21,60,90,67,77,86,68
255,Student_255,19,71,94,99,73,78,74
256,Student_256,23,94,99,63,91,73,43
257,Student_257,22,48,76,68,74,73,89
258,Student_258,18,75,46,87,70,46,70
259,Student_259,25,89,80,69,44,67,82
260,Student_260,24,79,56,48,66,91,81
261,Student_261,21,60,98,45,86,90,93
262,Student_262,19,98,97,83,78,46,41
263,Student_263,19,92,66,46,97,41,96
264,Student_264,25,46,66,62,62,91,86
265,Student_265,25,88,51,84,93,61,65
266,Student_266,20,63,83,50,80,88,51
267,Student_267,23,58,51,40,65,57,89
268,Student_268,21,65,61,60,61,55,43
269,Student_269,18,82,61,90,67,90,77
270,Student_270,22,53,63,73,56,45,55
271,Student_271,21,52,75,94,71,55,96
272,Student_272,24,46,85,92,42,50,78
273,Student_273,24,57,54,79,57,52,48
274,Student_274,25,70,69,90,65,59,70
275,Student_275,20,50,48,61,80,96,52
276,Student_276,25,88,93,97,77,64,80
277,Student_277,25,53,100,50,86,41,66
278,Student_278,24,45,57,67,91,56,40
279,Student_279,25,95,69,62,51,45,77
280,Student_280,23,69,95,46,43,95,82
281,Student_281,22,79,71,43,80,55,93
282,Student_282,21,83,66,80,80,58,77
283,Student_283,18,48,62,76,95,84,83
284,Student_284,25,95,67,73,57,68,93
285,Student_285,19,84,50,51,50,78,47
286,Student_286,25,87,73,65,61,96,77
287,Student_287,24,65,91,100,41,90,73
288,Student_288,23,86,58,53,88,70,81
289,Student_289,18,100,76,75,85,87,64
290,Student_290,22,88,99,93,74,57,79
291,Student_291,19,96,80,76,95,42,65
292,Student_292,21,46,79,85,75,59,63
293,Student_293,22,84,45,58,73,50,45
294,Student_294,22,97,49,81,99,82,100
295,Student_295,25,94,79,92,91,90,52
296,Student_296,18,42,40,94,98,54,77
297,Student_297,24,64,74,80,44,84,42
298,Student_298,22,89,42,82,52,48,65
299,Student_299,21,92,47,73,60,51,49
300,Student_300,19,89,92,53,59,68,40
301,Student_301,22,73,75,75,54,80,70
302,Student_302,20,98,93,80,80,83,77
303,Student_303,19,61,42,77,66,57,80
304,Student_304,22,99,68,47,67,69,82
305,Student_305,25,50,84,99,72,98,51
306,Student_306,24,51,80,93,80,93,52
307,Student_307,20,42,63,57,41,92,86
308,Student_308,21,51,75,86,72,50,61
309,Student_309,18,66,57,65,55,70,66
310,Student_310,18,71,68,68,52,42,64
311,Student_311,23,88,59,44,60,99,57
312,Student_312,24,64,54,97,48,55,79
313,Student_313,24,80,68,86,91,77,59
314,Student_314,18,87,56,91,84,96,82
315,Student_315,20,68,61,49,59,47,76
316,Student_316,18,44,63,61,79,86,83
317,Student_317,23,68,79,70,92,59,59
318,Student_318,20,83,67,75,79,96,54
319,Student_319,19,52,97,62,95,57,54
320,Student_320,20,77,69,50,48,67,74
321,Student_321,22,91,48,72,98,98,56
322,Student_322,20,77,84,44,76,90,56
323,Student_323,23,48,72,95,42,44,88
324,Student_324,20,86,79,87,66,84,71
325,Student_325,24,100,64,45,91,94,100
326,Student_326,20,65,63,65,61,94,82
327,Student_327,23,82,92,57,77,92,82
328,Student_328,25,60,76,54,76,53,50
329,Student_329,20,58,43,41,75,67,45
330,Student_330,20,95,58,66,98,69,89
331,Student_331,24,76,57,65,75,58,58
332,Student_332,24,51,57,98,60,45,85
333,Student_333,22,89,62,75,95,60,64
334,Student_334,23,96,75,65,91,93,84
335,Student_335,18,91,67,64,94,89,82
336,Student_336,21,96,41,68,89,77,82
337,Student_337,24,87,97,40,49,61,51
338,Student_338,22,72,53,97,86,83,99
339,Student_339,19,59,43,70,81,42,69
340,Student_340,25,66,52,75,69,65,76
341,Student_341,23,71,65,55,56,73,44
342,Student_342,23,93,73,46,90,92,55
343,Student_343,24,40,88,74,54,67,54
344,Student_344,25,57,98,48,53,76,100
345,Student_345,25,92,64,91,41,43,82
346,Student_346,21,46,42,75,79,63,81
347,Student_347,25,61,80,84,70,88,51
348,Student_348,21,48,58,87,66,87,88
349,Student_349,25,54,81,84,74,59,86
350,Student_350,18,54,41,55,44,72,55
351,Student_351,25,79,78,54,72,90,77
352,Student_352,24,100,92,77,90,94,98
353,Student_353,19,93,58,93,64,85,47
354,Student_354,21,53,82,60,59,98,43
355,Student_355,21,100,82,70,88,72,86
356,Student_356,23,62,74,58,85,63,40
357,Student_357,19,60,85,84,70,88,71
358,Student_358,21,49,73,80,47,74,50
359,Student_359,24,64,62,73,67,65,66
360,Student_360,25,54,46,98,100,68,59
361,Student_361,20,74,92,95,95,50,67
362,Student_362,20,45,43,91,94,62,88
363,Student_363,24,54,81,88,48,61,100
364,Student_364,19,64,43,44,54,77,43
365,Student_365,20,46,100,100,70,63,63
366,Student_366,19,71,64,56,80,80,58
367,Student_367,24,100,83,61,65,72,78
368,Student_368,24,60,86,48,42,61,75
369,Student_369,19,85,54,52,49,61,64
370,Student_370,21,65,62,60,54,66,90
371,Student_371,23,91,47,62,85,89,71
372,Student_372,24,85,66,88,47,56,86
373,Student_373,23,60,49,87,61,91,70
374,Student_374,19,57,96,51,60,88,54
375,Student_375,18,90,45,82,49,96,48
376,Student_376,21,49,87,66,55,78,57
377,Student_377,20,42,71,72,65,87,96
378,Student_378,23,79,45,58,61,80,51
379,Student_379,23,68,92,62,78,75,74
380,Student_380,19,58,89,46,70,41,75
381,Student_381,22,69,75,53,97,81,80
382,Student_382,22,84,88,62,63,95,56
383,Student_383,18,47,82,76,76,61,77
384,Student_384,21,73,59,94,62,83,54
385,Student_385,21,65,88,45,55,90,55
386,Student_386,21,62,61,99,73,64,82
387,Student_387,23,79,49,61,62,86,62
388,Student_388,22,46,82,91,41,44,97
389,Student_389,18,50,42,78,82,67,62
390,Student_390,19,90,56,96,60,61,76
391,Student_391,24,93,47,91,46,76,91
392,Student_392,25,72,94,88,68,54,85
393,Student_393,19,55,53,87,94,46,50
394,Student_394,23,46,75,74,94,51,75
395,Student_395,19,47,80,97,64,100,59
396,Student_396,22,85,50,45,50,96,41
397,Student_397,24,76,44,66,94,84,89
398,Student_398,23,80,42,73,99,88,46
399,Student_399,23,50,97,63,93,98,56
400,Student_400,19,60,70,87,64,51,47
401,Student_401,20,88,84,59,53,65,55
402,Student_402,18,78,73,55,91,86,67
403,Student_403,20,46,92,77,42,54,67
404,Student_404,19,43,81,80,99,52,55
405,Student_405,20,61,84,40,91,88,96
406,Student_406,24,61,51,89,91,80,93
407,Student_407,24,51,51,59,81,47,59
408,Student_408,20,51,50,72,53,87,98
409,Student_409,19,79,92,52,63,82,66
410,Student_410,21,77,74,45,57,63,97
411,Student_411,23,93,89,82,64,54,92
412,Student_412,20,75,78,98,58,87,59
413,Student_413,24,45,87,72,83,78,82
414,Student_414,25,50,100,52,82,83,93
415,Student_415,22,51,65,93,62,52,71
416,Student_416,21,40,61,99,87,66,84
417,Student_417,25,74,81,76,40,80,61
418,Student_418,24,46,54,58,86,58,62
419,Student_419,18,53,63,76,45,53,87
420,Student_420,18,47,41,40,85,56,45
421,Student_421,22,82,88,66,59,72,78
422,Student_422,18,99,71,62,43,91,68
423,Student_423,25,71,91,97,64,99,68
424,Student_424,20,65,58,77,66,97,69
425,Student_425,19,67,80,99,78,58,45
426,Student_426,21,66,86,66,93,97,49
427,Student_427,24,67,90,82,83,93,42
428,Student_428,24,74,89,98,65,41,46
429,Student_429,23,78,56,71,65,97,63
430,Student_430,24,98,79,91,78,83,65
431,Student_431,18,92,87,81,59,80,41
432,Student_432,24,53,54,75,43,45,63
433,Student_433,23,89,59,60,51,52,79
434,Student_434,23,71,74,91,78,69,78
435,Student_435,21,94,47,47,96,42,52
436,Student_436,18,87,85,76,50,88,49
437,Student_437,24,84,99,91,48,44,63
438,Student_438,25,53,45,76,44,59,93
439,Student_439,20,85,97,56,49,95,80
440,Student_440,24,78,85,60,42,68,91
441,Student_441,19,53,43,84,91,64,92
442,Student_442,23,89,81,98,56,91,62
443,Student_443,19,71,59,68,72,53,89
444,Student_444,18,68,51,97,45,45,40
445,Student_445,25,52,82,58,59,81,85
446,Student_446,21,83,53,74,41,68,53
447,Student_447,18,84,60,87,94,42,52
448,Student_448,19,98,41,75,63,73,53
449,Student_449,21,51,60,99,69,97,60
450,Student_450,20,80,72,65,59,61,68
451,Student_451,23,78,43,65,91,79,79
452,Student_452,22,65,95,96,59,40,45
453,Student_453,25,73,43,99,61,83,63
454,Student_454,18,74,50,45,96,79,58
455,Student_455,19,47,91,99,70,42,66
456,Student_456,24,53,49,85,65,56,43
457,Student_457,19,66,59,90,69,56,85
458,Student_458,19,87,54,90,83,76,44
459,Student_459,21,42,58,87,92,48,86
460,Student_460,21,52,65,52,71,91,78
461,Student_461,22,44,79,94,45,57,60
462,Student_462,21,98,83,94,66,79,41
463,Student_463,21,93,65,67,49,80,88
464,Student_464,23,45,48,56,42,75,56
465,Student_465,21,94,96,90,99,82,45
466,Student_466,21,68,100,98,56,48,97
467,Student_467,25,84,83,77,75,80,89
468,Student_468,21,64,42,97,83,93,50
469,Student_469,20,48,57,51,99,74,56
470,Student_470,25,41,70,67,78,97,94
471,Student_471,24,99,97,87,91,62,92
472,Student_472,22,48,45,99,82,85,53
473,Student_473,23,76,73,82,93,74,40
474,Student_474,21,77,70,65,77,59,99
475,Student_475,20,97,99,77,87,72,99
476,Student_476,19,78,62,80,47,60,78
477,Student_477,20,64,73,59,79,60,58
478,Student_478,25,95,86,78,57,47,64
479,Student_479,20,60,96,67,70,95,52
480,Student_480,25,43,82,73,82,82,78
481,Student_481,23,64,88,46,84,82,71
482,Student_482,21,87,46,45,60,97,88
483,Student_483,21,86,42,41,89,97,95
484,Student_484,24,76,46,96,55,53,47
485,Student_485,20,64,79,52,85,41,68
486,Student_486,23,44,56,57,99,78,93
487,Student_487,19,67,50,100,97,69,93
488,Student_488,24,95,44,54,64,98,74
489,Student_489,20,54,41,76,67,75,87
490,Student_490,20,77,100,100,80,65,57
491,Student_491,21,94,50,59,82,96,71
492,Student_492,22,98,58,84,40,68,93
493,Student_493,22,83,63,42,77,86,56
494,Student_494,21,87,58,49,54,45,61
495,Student_495,25,90,56,93,60,49,95
496,Student_496,19,66,41,74,50,52,55
497,Student_497,25,44,86,42,78,84,45
498,Student_498,19,80,67,54,46,90,49
499,Student_499,22,67,52,58,57,42,73
500,Student_500,23,66,70,85,51,87,53
501,Student_501,21,87,59,54,60,45,50
502,Student_502,18,68,98,81,45,98,90
503,Student_503,22,67,48,71,47,89,87
504,Student_504,19,55,61,66,66,98,47
505,Student_505,25,64,72,92,65,75,65
506,Student_506,24,63,54,86,62,57,48
507,Student_507,22,77,64,49,70,87,99
508,Student_508,25,57,49,41,46,74,98
509,Student_509,19,50,80,70,62,81,81
510,Student_510,24,76,66,63,93,54,59
511,Student_511,18,50,60,81,41,100,45
512,Student_512,21,85,84,80,84,85,81
513,Student_513,22,61,49,82,63,57,89
514,Student_514,24,80,47,73,51,83,88
515,Student_515,25,96,86,78,66,49,78
516,Student_516,21,59,77,42,62,59,81
517,Student_517,25,100,64,47,83,62,66
518,Student_518,23,47,96,100,72,91,51
519,Student_519,25,58,78,92,62,86,97
520,Student_520,23,50,86,68,97,68,44
521,Student_521,23,94,72,76,84,60,49
522,Student_522,22,97,50,92,76,100,48
523,Student_523,19,46,90,66,54,76,89
524,Student_524,24,68,91,94,54,98,80
525,Student_525,21,100,82,61,56,84,79
526,Student_526,25,99,72,94,48,74,81
527,Student_527,18,78,94,79,89,83,90
528,Student_528,22,94,71,63,65,77,69
529,Student_529,23,72,54,75,44,78,60
530,Student_530,19,59,42,77,89,77,63
531,Student_531,25,42,66,76,49,82,84
532,Student_532,22,53,47,65,58,73,91
533,Student_533,25,77,90,96,66,41,84
534,Student_534,25,95,97,87,75,57,71
535,Student_535,24,99,57,78,61,63,76
536,Student_536,18,74,59,95,85,51,92
537,Student_537,19,84,48,72,54,87,99
538,Student_538,23,63,81,69,97,65,70
539,Student_539,22,65,82,71,84,92,97
540,Student_540,21,98,46,52,100,83,76
541,Student_541,22,41,95,70,51,90,86
542,Student_542,20,48,61,77,92,49,41
543,Student_543,23,69,44,75,77,51,53
544,Student_544,21,45,95,93,72,73,48
545,Student_545,21,52,61,44,46,96,81
546,Student_546,23,86,41,91,52,40,99
547,Student_547,22,69,54,66,81,91,96
548,Student_548,20,47,65,81,89,87,63
549,Student_549,23,93,84,79,53,46,50
550,Student_550,20,78,48,98,85,87,88
551,Student_551,18,88,69,98,83,79,71
552,Student_552,25,40,78,80,81,82,85
553,Student_553,25,44,97,93,82,48,82
554,Student_554,23,61,66,100,53,63,74
555,Student_555,23,97,50,54,49,40,87
556,Student_556,18,63,65,95,94,60,95
557,Student_557,19,41,57,43,82,54,79
558,Student_558,23,82,56,49,87,73,65
559,Student_559,21,76,49,72,46,99,58
560,Student_560,19,67,88,68,82,96,41
561,Student_561,19,94,100,99,46,100,86
562,Student_562,19,93,95,85,67,76,40
563,Student_563,25,63,99,76,41,67,82
564,Student_564,20,68,94,64,49,74,45
565,Student_565,18,81,76,97,88,80,85
566,Student_566,23,95,41,51,56,51,93
567,Student_567,22,67,56,72,67,62,74
568,Student_568,25,87,74,79,86,89,91
569,Student_569,23,95,95,74,96,81,76
570,Student_570,21,53,56,49,76,60,70
571,Student_571,24,48,79,84,70,64,89
572,Student_572,21,69,41,54,95,80,57
573,Student_573,23,71,92,76,89,61,100
574,Student_574,21,57,100,69,100,88,83
575,Student_575,23,68,50,79,86,58,86
576,Student_576,19,57,55,70,83,97,61
577,Student_577,25,79,78,53,41,99,43
578,Student_578,18,94,76,69,56,82,52
579,Student_579,19,74,52,71,63,74,42
580,Student_580,19,58,97,54,68,51,58
581,Student_581,21,42,70,59,77,54,78
582,Student_582,23,68,99,63,71,63,78
583,Student_583,19,64,60,77,64,82,85
584,Student_584,24,45,83,69,63,70,68
585,Student_585,22,40,64,81,74,91,72
586,Student_586,23,69,90,45,53,99,98
587,Student_587,23,46,81,84,62,96,42
588,Student_588,23,53,66,69,79,74,67
589,Student_589,23,81,76,58,91,95,79
590,Student_590,18,56,87,94,44,77,97
591,Student_591,25,74,95,100,50,64,78
592,Student_592,20,52,72,80,60,74,91
593,Student_593,25,91,88,55,94,85,94
594,Student_594,20,64,62,83,79,60,81
595,Student_595,20,62,52,82,99,83,72
596,Student_596,23,58,40,58,41,99,51
597,Student_597,22,55,93,75,61,67,44
598,Student_598,19,85,42,55,47,81,48
599,Student_599,25,96,65,47,40,44,98
600,Student_600,25,67,40,68,80,90,73
601,Student_601,23,88,91,68,64,95,66
602,Student_602,20,41,65,78,73,69,54
603,Student_603,25,86,88,74,51,82,58
604,Student_604,19,69,97,45,70,46,91
605,Student_605,23,74,46,81,87,42,62
606,Student_606,23,76,75,86,66,96,63
607,Student_607,25,62,76,95,86,96,61
608,Student_608,24,49,56,91,69,49,74
609,Student_609,21,40,66,54,45,78,77
610,Student_610,20,49,65,82,52,80,88
611,Student_611,25,52,50,44,53,63,68
612,Student_612,21,67,59,79,78,66,89
613,Student_613,20,86,50,79,57,44,78
614,Student_614,25,82,54,48,40,77,47
615,Student_615,22,95,90,46,70,59,89
616,Student_616,18,46,60,79,75,99,93
617,Student_617,25,56,97,91,55,91,87
618,Student_618,23,73,49,73,46,87,77
619,Student_619,24,98,50,73,71,94,93
620,Student_620,18,73,73,91,79,52,71
621,Student_621,22,41,48,81,44,60,49
622,Student_622,23,49,97,54,54,58,68
623,Student_623,25,54,45,93,74,91,70
624,Student_624,25,93,73,61,76,41,94
625,Student_625,18,88,67,64,84,58,48
626,Student_626,19,69,60,81,41,65,68
627,Student_627,21,68,88,56,65,93,81
628,Student_628,18,41,93,87,50,60,54
629,Student_629,21,76,96,49,67,87,48
630,Student_630,25,75,86,57,74,88,84
631,Student_631,25,88,85,79,79,93,68
632,Student_632,24,61,85,63,77,40,66
633,Student_633,25,87,77,74,43,49,71
634,Student_634,24,83,80,64,95,88,42
635,Student_635,24,44,45,90,61,83,92
636,Student_636,20,50,47,64,90,41,82
637,Student_637,23,76,52,75,95,95,60
638,Student_638,19,68,85,96,62,76,97
639,Student_639,18,60,98,99,46,89,99
640,Student_640,25,91,49,90,75,86,47
641,Student_641,22,55,62,56,95,90,69
642,Student_642,20,76,61,90,96,57,77
643,Student_643,24,70,83,77,100,94,66
644,Student_644,19,54,86,54,76,93,46
645,Student_645,20,70,99,79,44,92,87
646,Student_646,19,60,78,64,91,56,85
647,Student_647,23,58,74,49,42,95,55
648,Student_648,23,92,77,90,42,70,71
649,Student_649,18,64,70,91,61,99,71
650,Student_650,20,52,77,64,47,76,64
651,Student_651,22,87,54,69,75,74,42
652,Student_652,24,99,97,91,86,83,70
653,Student_653,24,73,74,59,48,99,59
654,Student_654,18,92,85,97,97,57,86
655,Student_655,18,69,81,54,60,58,66
656,Student_656,21,68,97,50,81,44,84
657,Student_657,18,93,45,100,48,46,49
658,Student_658,19,49,82,45,57,91,75
659,Student_659,18,88,79,70,53,88,52
660,Student_660,24,62,78,66,45,72,82
661,Student_661,18,64,58,85,49,70,84
662,Student_662,21,49,60,82,61,77,54
663,Student_663,18,47,94,74,90,73,63
